PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Embarked_clean,Age_registrada,Age_clean,Cabin_registrada,Cabin_letra,class,who,adult_male,deck,embark_town,alone,Sex_bin,Title,Title_agrupado,FamilySize,IsAlone,AgeGroup,Fare_log,FareBand,Deck_combinado
11,1,3,"Sandstrom, Miss. Marguerite Rut",female,4.0,1,1,PP 9549,16.7,G6,S,S,1,4.0,1,G,Third,child,False,G,Southampton,False,1,Miss,Miss,3,0,Niño (0-12),2.8735646395797834,Q3,G
12,1,1,"Bonnell, Miss. Elizabeth",female,58.0,0,0,113783,26.55,C103,S,S,1,58.0,1,C,First,woman,False,C,Southampton,True,1,Miss,Miss,1,1,Adulto (36-60),3.3160025355989236,Q3,C
13,0,3,"Saundercock, Mr. William Henry",male,20.0,0,0,A/5. 2151,8.05,,S,S,1,20.0,0,,Third,man,True,,Southampton,True,0,Mr,Mr,1,1,Adulto joven (18-35),2.2027647577118348,Q2,Desconocida
14,0,3,"Andersson, Mr. Anders Johan",male,39.0,1,5,347082,31.275,,S,S,1,39.0,0,,Third,man,True,,Southampton,False,0,Mr,Mr,7,0,Adulto (36-60),3.4742929367327062,Q4 (alto),Desconocida
15,0,3,"Vestrom, Miss. Hulda Amanda Adolfina",female,14.0,0,0,350406,7.8542,,S,S,1,14.0,0,,Third,child,False,,Southampton,True,1,Miss,Miss,1,1,Adolescente (13-17),2.180891922715322,Q1 (bajo),Desconocida
16,1,2,"Hewlett, Mrs. (Mary D Kingcome) ",female,55.0,0,0,248706,16.0,,S,S,1,55.0,0,,Second,woman,False,,Southampton,True,1,Mrs,Mrs,1,1,Adulto (36-60),2.833213344056216,Q3,Desconocida
17,0,3,"Rice, Master. Eugene",male,2.0,4,1,382652,29.125,,Q,Q,1,2.0,0,,Third,child,False,,Queenstown,False,0,Master,Master,6,0,Niño (0-12),3.405355391810819,Q3,Desconocida
18,1,2,"Williams, Mr. Charles Eugene",male,,0,0,244373,13.0,,S,S,0,30.0,0,,Second,man,True,,Southampton,True,0,Mr,Mr,1,1,Adulto joven (18-35),2.6390573296152584,Q2,Desconocida
19,0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,31.0,1,0,345763,18.0,,S,S,1,31.0,0,,Third,woman,False,,Southampton,False,1,Mrs,Mrs,2,0,Adulto joven (18-35),2.9444389791664403,Q3,Desconocida
20,1,3,"Masselmani, Mrs. Fatima",female,,0,0,2649,7.225,,C,C,0,21.5,0,,Third,woman,False,,Cherbourg,True,1,Mrs,Mrs,1,1,Adulto joven (18-35),2.1071782966514356,Q1 (bajo),Desconocida
21,0,2,"Fynney, Mr. Joseph J",male,35.0,0,0,239865,26.0,,S,S,1,35.0,0,,Second,man,True,,Southampton,True,0,Mr,Mr,1,1,Adulto joven (18-35),3.295836866004329,Q3,Desconocida
22,1,2,"Beesley, Mr. Lawrence",male,34.0,0,0,248698,13.0,D56,S,S,1,34.0,1,D,Second,man,True,D,Southampton,True,0,Mr,Mr,1,1,Adulto joven (18-35),2.6390573296152584,Q2,D
23,1,3,"McGowan, Miss. Anna ""Annie""",female,15.0,0,0,330923,8.0292,,Q,Q,1,15.0,0,,Third,child,False,,Queenstown,True,1,Miss,Miss,1,1,Adolescente (13-17),2.2004637699272855,Q2,Desconocida
24,1,1,"Sloper, Mr. William Thompson",male,28.0,0,0,113788,35.5,A6,S,S,1,28.0,1,A,First,man,True,A,Southampton,True,0,Mr,Mr,1,1,Adulto joven (18-35),3.597312260588446,Q4 (alto),A
25,0,3,"Palsson, Miss. Torborg Danira",female,8.0,3,1,349909,21.075,,S,S,1,8.0,0,,Third,child,False,,Southampton,False,1,Miss,Miss,5,0,Niño (0-12),3.0944457464900235,Q3,Desconocida
26,1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,38.0,1,5,347077,31.3875,,S,S,1,38.0,0,,Third,woman,False,,Southampton,False,1,Mrs,Mrs,7,0,Adulto (36-60),3.4777725458882283,Q4 (alto),Desconocida
27,0,3,"Emir, Mr. Farred Chehab",male,,0,0,2631,7.225,,C,C,0,25.0,0,,Third,man,True,,Cherbourg,True,0,Mr,Mr,1,1,Adulto joven (18-35),2.1071782966514356,Q1 (bajo),Desconocida
28,0,1,"Fortune, Mr. Charles Alexander",male,19.0,3,2,19950,263.0,C23 C25 C27,S,S,1,19.0,1,C,First,man,True,C,Southampton,False,0,Mr,Mr,6,0,Adulto joven (18-35),5.575949103146316,Q4 (alto),C
29,1,3,"O'Dwyer, Miss. Ellen ""Nellie""",female,,0,0,330959,7.8792,,Q,Q,0,21.5,0,,Third,woman,False,,Queenstown,True,1,Miss,Miss,1,1,Adulto joven (18-35),2.1837114628556327,Q1 (bajo),Desconocida
30,0,3,"Todoroff, Mr. Lalio",male,,0,0,349216,7.8958,,S,S,0,25.0,0,,Third,man,True,,Southampton,True,0,Mr,Mr,1,1,Adulto joven (18-35),2.1855792552411137,Q1 (bajo),Desconocida
31,0,1,"Uruchurtu, Don. Manuel E",male,40.0,0,0,PC 17601,27.7208,,C,C,1,40.0,0,,First,man,True,,Cherbourg,True,0,Don,Nobleza,1,1,Adulto (36-60),3.357621598945279,Q3,Desconocida
32,1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,,1,0,PC 17569,146.5208,B78,C,C,0,35.0,1,B,First,woman,False,B,Cherbourg,False,1,Mrs,Mrs,2,0,Adulto joven (18-35),4.993969182787072,Q4 (alto),B
33,1,3,"Glynn, Miss. Mary Agatha",female,,0,0,335677,7.75,,Q,Q,0,21.5,0,,Third,woman,False,,Queenstown,True,1,Miss,Miss,1,1,Adulto joven (18-35),2.169053700369523,Q1 (bajo),Desconocida
34,0,2,"Wheadon, Mr. Edward H",male,66.0,0,0,C.A. 24579,10.5,,S,S,1,66.0,0,,Second,man,True,,Southampton,True,0,Mr,Mr,1,1,Mayor (60+),2.4423470353692043,Q2,Desconocida
35,0,1,"Meyer, Mr. Edgar Joseph",male,28.0,1,0,PC 17604,82.1708,,C,C,1,28.0,0,,First,man,True,,Cherbourg,False,0,Mr,Mr,2,0,Adulto joven (18-35),4.420896324687287,Q4 (alto),Desconocida
36,0,1,"Holverson, Mr. Alexander Oskar",male,42.0,1,0,113789,52.0,,S,S,1,42.0,0,,First,man,True,,Southampton,False,0,Mr,Mr,2,0,Adulto (36-60),3.970291913552122,Q4 (alto),Desconocida
37,1,3,"Mamee, Mr. Hanna",male,,0,0,2677,7.2292,,C,C,0,25.0,0,,Third,man,True,,Cherbourg,True,0,Mr,Mr,1,1,Adulto joven (18-35),2.1076888046179385,Q1 (bajo),Desconocida
38,0,3,"Cann, Mr. Ernest Charles",male,21.0,0,0,A./5. 2152,8.05,,S,S,1,21.0,0,,Third,man,True,,Southampton,True,0,Mr,Mr,1,1,Adulto joven (18-35),2.2027647577118348,Q2,Desconocida
39,0,3,"Vander Planke, Miss. Augusta Maria",female,18.0,2,0,345764,18.0,,S,S,1,18.0,0,,Third,woman,False,,Southampton,False,1,Miss,Miss,3,0,Adulto joven (18-35),2.9444389791664403,Q3,Desconocida
40,1,3,"Nicola-Yarred, Miss. Jamila",female,14.0,1,0,2651,11.2417,,C,C,1,14.0,0,,Third,child,False,,Cherbourg,False,1,Miss,Miss,2,0,Adolescente (13-17),2.5048481563289,Q2,Desconocida
41,0,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,40.0,1,0,7546,9.475,,S,S,1,40.0,0,,Third,woman,False,,Southampton,False,1,Mrs,Mrs,2,0,Adulto (36-60),2.348991465808201,Q2,Desconocida
42,0,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,27.0,1,0,11668,21.0,,S,S,1,27.0,0,,Second,woman,False,,Southampton,False,1,Mrs,Mrs,2,0,Adulto joven (18-35),3.091042453358316,Q3,Desconocida
43,0,3,"Kraeff, Mr. Theodor",male,,0,0,349253,7.8958,,C,C,0,25.0,0,,Third,man,True,,Cherbourg,True,0,Mr,Mr,1,1,Adulto joven (18-35),2.1855792552411137,Q1 (bajo),Desconocida
44,1,2,"Laroche, Miss. Simonne Marie Anne Andree",female,3.0,1,2,SC/Paris 2123,41.5792,,C,C,1,3.0,0,,Second,child,False,,Cherbourg,False,1,Miss,Miss,4,0,Niño (0-12),3.7513658711253766,Q4 (alto),Desconocida
45,1,3,"Devaney, Miss. Margaret Delia",female,19.0,0,0,330958,7.8792,,Q,Q,1,19.0,0,,Third,woman,False,,Queenstown,True,1,Miss,Miss,1,1,Adulto joven (18-35),2.1837114628556327,Q1 (bajo),Desconocida
46,0,3,"Rogers, Mr. William John",male,,0,0,S.C./A.4. 23567,8.05,,S,S,0,25.0,0,,Third,man,True,,Southampton,True,0,Mr,Mr,1,1,Adulto joven (18-35),2.2027647577118348,Q2,Desconocida
47,0,3,"Lennon, Mr. Denis",male,,1,0,370371,15.5,,Q,Q,0,25.0,0,,Third,man,True,,Queenstown,False,0,Mr,Mr,2,0,Adulto joven (18-35),2.803360380906535,Q3,Desconocida
48,1,3,"O'Driscoll, Miss. Bridget",female,,0,0,14311,7.75,,Q,Q,0,21.5,0,,Third,woman,False,,Queenstown,True,1,Miss,Miss,1,1,Adulto joven (18-35),2.169053700369523,Q1 (bajo),Desconocida
49,0,3,"Samaan, Mr. Youssef",male,,2,0,2662,21.6792,,C,C,0,25.0,0,,Third,man,True,,Cherbourg,False,0,Mr,Mr,3,0,Adulto joven (18-35),3.1214482048688246,Q3,Desconocida
50,0,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,18.0,1,0,349237,17.8,,S,S,1,18.0,0,,Third,woman,False,,Southampton,False,1,Mrs,Mrs,2,0,Adulto joven (18-35),2.9338568698359038,Q3,Desconocida
51,0,3,"Panula, Master. Juha Niilo",male,7.0,4,1,3101295,39.6875,,S,S,1,7.0,0,,Third,child,False,,Southampton,False,0,Master,Master,6,0,Niño (0-12),3.705920919968788,Q4 (alto),Desconocida
52,0,3,"Nosworthy, Mr. Richard Cater",male,21.0,0,0,A/4. 39886,7.8,,S,S,1,21.0,0,,Third,man,True,,Southampton,True,0,Mr,Mr,1,1,Adulto joven (18-35),2.174751721484161,Q1 (bajo),Desconocida
53,1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,49.0,1,0,PC 17572,76.7292,D33,C,C,1,49.0,1,D,First,woman,False,D,Cherbourg,False,1,Mrs,Mrs,2,0,Adulto (36-60),4.353230991152628,Q4 (alto),D
54,1,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,29.0,1,0,2926,26.0,,S,S,1,29.0,0,,Second,woman,False,,Southampton,False,1,Mrs,Mrs,2,0,Adulto joven (18-35),3.295836866004329,Q3,Desconocida
55,0,1,"Ostby, Mr. Engelhart Cornelius",male,65.0,0,1,113509,61.9792,B30,C,C,1,65.0,1,B,First,man,True,B,Cherbourg,False,0,Mr,Mr,2,0,Mayor (60+),4.142804513146981,Q4 (alto),B
56,1,1,"Woolner, Mr. Hugh",male,,0,0,19947,35.5,C52,S,S,0,40.0,1,C,First,man,True,C,Southampton,True,0,Mr,Mr,1,1,Adulto (36-60),3.597312260588446,Q4 (alto),C
57,1,2,"Rugg, Miss. Emily",female,21.0,0,0,C.A. 31026,10.5,,S,S,1,21.0,0,,Second,woman,False,,Southampton,True,1,Miss,Miss,1,1,Adulto joven (18-35),2.4423470353692043,Q2,Desconocida
58,0,3,"Novel, Mr. Mansouer",male,28.5,0,0,2697,7.2292,,C,C,1,28.5,0,,Third,man,True,,Cherbourg,True,0,Mr,Mr,1,1,Adulto joven (18-35),2.1076888046179385,Q1 (bajo),Desconocida
59,1,2,"West, Miss. Constance Mirium",female,5.0,1,2,C.A. 34651,27.75,,S,S,1,5.0,0,,Second,child,False,,Southampton,False,1,Miss,Miss,4,0,Niño (0-12),3.3586377672433594,Q3,Desconocida
60,0,3,"Goodwin, Master. William Frederick",male,11.0,5,2,CA 2144,46.9,,S,S,1,11.0,0,,Third,child,False,,Southampton,False,0,Master,Master,8,0,Niño (0-12),3.8691155044168695,Q4 (alto),Desconocida
61,0,3,"Sirayanian, Mr. Orsen",male,22.0,0,0,2669,7.2292,,C,C,1,22.0,0,,Third,man,True,,Cherbourg,True,0,Mr,Mr,1,1,Adulto joven (18-35),2.1076888046179385,Q1 (bajo),Desconocida
62,1,1,"Icard, Miss. Amelie",female,38.0,0,0,113572,80.0,B28,,S,1,38.0,1,B,First,woman,False,B,,True,1,Miss,Miss,1,1,Adulto (36-60),4.394449154672439,Q4 (alto),B
63,0,1,"Harris, Mr. Henry Birkhardt",male,45.0,1,0,36973,83.475,C83,S,S,1,45.0,1,C,First,man,True,C,Southampton,False,0,Mr,Mr,2,0,Adulto (36-60),4.436455632600354,Q4 (alto),C
64,0,3,"Skoog, Master. Harald",male,4.0,3,2,347088,27.9,,S,S,1,4.0,0,,Third,child,False,,Southampton,False,0,Master,Master,6,0,Niño (0-12),3.3638415951183864,Q3,Desconocida
65,0,1,"Stewart, Mr. Albert A",male,,0,0,PC 17605,27.7208,,C,C,0,40.0,0,,First,man,True,,Cherbourg,True,0,Mr,Mr,1,1,Adulto (36-60),3.357621598945279,Q3,Desconocida
66,1,3,"Moubarek, Master. Gerios",male,,1,1,2661,15.2458,,C,C,0,25.0,0,,Third,man,True,,Cherbourg,False,0,Master,Master,3,0,Adulto joven (18-35),2.7878344138303452,Q3,Desconocida
67,1,2,"Nye, Mrs. (Elizabeth Ramell)",female,29.0,0,0,C.A. 29395,10.5,F33,S,S,1,29.0,1,F,Second,woman,False,F,Southampton,True,1,Mrs,Mrs,1,1,Adulto joven (18-35),2.4423470353692043,Q2,F
68,0,3,"Crease, Mr. Ernest James",male,19.0,0,0,S.P. 3464,8.1583,,S,S,1,19.0,0,,Third,man,True,,Southampton,True,0,Mr,Mr,1,1,Adulto joven (18-35),2.2146605719425225,Q2,Desconocida
69,1,3,"Andersson, Miss. Erna Alexandra",female,17.0,4,2,3101281,7.925,,S,S,1,17.0,0,,Third,woman,False,,Southampton,False,1,Miss,Miss,7,0,Adolescente (13-17),2.188856327665703,Q2,Desconocida
70,0,3,"Kink, Mr. Vincenz",male,26.0,2,0,315151,8.6625,,S,S,1,26.0,0,,Third,man,True,,Southampton,False,0,Mr,Mr,3,0,Adulto joven (18-35),2.2682524139135403,Q2,Desconocida
71,0,2,"Jenkin, Mr. Stephen Curnow",male,32.0,0,0,C.A. 33111,10.5,,S,S,1,32.0,0,,Second,man,True,,Southampton,True,0,Mr,Mr,1,1,Adulto joven (18-35),2.4423470353692043,Q2,Desconocida
72,0,3,"Goodwin, Miss. Lillian Amy",female,16.0,5,2,CA 2144,46.9,,S,S,1,16.0,0,,Third,woman,False,,Southampton,False,1,Miss,Miss,8,0,Adolescente (13-17),3.8691155044168695,Q4 (alto),Desconocida
73,0,2,"Hood, Mr. Ambrose Jr",male,21.0,0,0,S.O.C. 14879,73.5,,S,S,1,21.0,0,,Second,man,True,,Southampton,True,0,Mr,Mr,1,1,Adulto joven (18-35),4.310799125385514,Q4 (alto),Desconocida
74,0,3,"Chronopoulos, Mr. Apostolos",male,26.0,1,0,2680,14.4542,,C,C,1,26.0,0,,Third,man,True,,Cherbourg,False,0,Mr,Mr,2,0,Adulto joven (18-35),2.737880811060884,Q2,Desconocida
75,1,3,"Bing, Mr. Lee",male,32.0,0,0,1601,56.4958,,S,S,1,32.0,0,,Third,man,True,,Southampton,True,0,Mr,Mr,1,1,Adulto joven (18-35),4.05171190165724,Q4 (alto),Desconocida
76,0,3,"Moen, Mr. Sigurd Hansen",male,25.0,0,0,348123,7.65,F G73,S,S,1,25.0,1,F,Third,man,True,F,Southampton,True,0,Mr,Mr,1,1,Adulto joven (18-35),2.157559320943788,Q1 (bajo),F
77,0,3,"Staneff, Mr. Ivan",male,,0,0,349208,7.8958,,S,S,0,25.0,0,,Third,man,True,,Southampton,True,0,Mr,Mr,1,1,Adulto joven (18-35),2.1855792552411137,Q1 (bajo),Desconocida
78,0,3,"Moutal, Mr. Rahamin Haim",male,,0,0,374746,8.05,,S,S,0,25.0,0,,Third,man,True,,Southampton,True,0,Mr,Mr,1,1,Adulto joven (18-35),2.2027647577118348,Q2,Desconocida
79,1,2,"Caldwell, Master. Alden Gates",male,0.83,0,2,248738,29.0,,S,S,1,0.83,0,,Second,child,False,,Southampton,False,0,Master,Master,3,0,Niño (0-12),3.4011973816621555,Q3,Desconocida
80,1,3,"Dowdell, Miss. Elizabeth",female,30.0,0,0,364516,12.475,,S,S,1,30.0,0,,Third,woman,False,,Southampton,True,1,Miss,Miss,1,1,Adulto joven (18-35),2.600836116795061,Q2,Desconocida
81,0,3,"Waelens, Mr. Achille",male,22.0,0,0,345767,9.0,,S,S,1,22.0,0,,Third,man,True,,Southampton,True,0,Mr,Mr,1,1,Adulto joven (18-35),2.302585092994046,Q2,Desconocida
82,1,3,"Sheerlinck, Mr. Jan Baptist",male,29.0,0,0,345779,9.5,,S,S,1,29.0,0,,Third,man,True,,Southampton,True,0,Mr,Mr,1,1,Adulto joven (18-35),2.3513752571634776,Q2,Desconocida
83,1,3,"McDermott, Miss. Brigdet Delia",female,,0,0,330932,7.7875,,Q,Q,0,21.5,0,,Third,woman,False,,Queenstown,True,1,Miss,Miss,1,1,Adulto joven (18-35),2.1733302571367834,Q1 (bajo),Desconocida
84,0,1,"Carrau, Mr. Francisco M",male,28.0,0,0,113059,47.1,,S,S,1,28.0,0,,First,man,True,,Southampton,True,0,Mr,Mr,1,1,Adulto joven (18-35),3.8732821771117156,Q4 (alto),Desconocida
85,1,2,"Ilett, Miss. Bertha",female,17.0,0,0,SO/C 14885,10.5,,S,S,1,17.0,0,,Second,woman,False,,Southampton,True,1,Miss,Miss,1,1,Adolescente (13-17),2.4423470353692043,Q2,Desconocida
86,1,3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",female,33.0,3,0,3101278,15.85,,S,S,1,33.0,0,,Third,woman,False,,Southampton,False,1,Mrs,Mrs,4,0,Adulto joven (18-35),2.8243506567983707,Q3,Desconocida
87,0,3,"Ford, Mr. William Neal",male,16.0,1,3,W./C. 6608,34.375,,S,S,1,16.0,0,,Third,man,True,,Southampton,False,0,Mr,Mr,5,0,Adolescente (13-17),3.5660053559634015,Q4 (alto),Desconocida
88,0,3,"Slocovski, Mr. Selman Francis",male,,0,0,SOTON/OQ 392086,8.05,,S,S,0,25.0,0,,Third,man,True,,Southampton,True,0,Mr,Mr,1,1,Adulto joven (18-35),2.2027647577118348,Q2,Desconocida
89,1,1,"Fortune, Miss. Mabel Helen",female,23.0,3,2,19950,263.0,C23 C25 C27,S,S,1,23.0,1,C,First,woman,False,C,Southampton,False,1,Miss,Miss,6,0,Adulto joven (18-35),5.575949103146316,Q4 (alto),C
90,0,3,"Celotti, Mr. Francesco",male,24.0,0,0,343275,8.05,,S,S,1,24.0,0,,Third,man,True,,Southampton,True,0,Mr,Mr,1,1,Adulto joven (18-35),2.2027647577118348,Q2,Desconocida
91,0,3,"Christmann, Mr. Emil",male,29.0,0,0,343276,8.05,,S,S,1,29.0,0,,Third,man,True,,Southampton,True,0,Mr,Mr,1,1,Adulto joven (18-35),2.2027647577118348,Q2,Desconocida
92,0,3,"Andreasson, Mr. Paul Edvin",male,20.0,0,0,347466,7.8542,,S,S,1,20.0,0,,Third,man,True,,Southampton,True,0,Mr,Mr,1,1,Adulto joven (18-35),2.180891922715322,Q1 (bajo),Desconocida
93,0,1,"Chaffee, Mr. Herbert Fuller",male,46.0,1,0,W.E.P. 5734,61.175,E31,S,S,1,46.0,1,E,First,man,True,E,Southampton,False,0,Mr,Mr,2,0,Adulto (36-60),4.1299529896894684,Q4 (alto),E
94,0,3,"Dean, Mr. Bertram Frank",male,26.0,1,2,C.A. 2315,20.575,,S,S,1,26.0,0,,Third,man,True,,Southampton,False,0,Mr,Mr,4,0,Adulto joven (18-35),3.0715352369694915,Q3,Desconocida
95,0,3,"Coxon, Mr. Daniel",male,59.0,0,0,364500,7.25,,S,S,1,59.0,0,,Third,man,True,,Southampton,True,0,Mr,Mr,1,1,Adulto (36-60),2.1102132003465894,Q1 (bajo),Desconocida
96,0,3,"Shorney, Mr. Charles Joseph",male,,0,0,374910,8.05,,S,S,0,25.0,0,,Third,man,True,,Southampton,True,0,Mr,Mr,1,1,Adulto joven (18-35),2.2027647577118348,Q2,Desconocida
97,0,1,"Goldschmidt, Mr. George B",male,71.0,0,0,PC 17754,34.6542,A5,C,C,1,71.0,1,A,First,man,True,A,Cherbourg,True,0,Mr,Mr,1,1,Mayor (60+),3.57386695198272,Q4 (alto),A
98,1,1,"Greenfield, Mr. William Bertram",male,23.0,0,1,PC 17759,63.3583,D10 D12,C,C,1,23.0,1,D,First,man,True,D,Cherbourg,False,0,Mr,Mr,2,0,Adulto joven (18-35),4.164465907853638,Q4 (alto),D
99,1,2,"Doling, Mrs. John T (Ada Julia Bone)",female,34.0,0,1,231919,23.0,,S,S,1,34.0,0,,Second,woman,False,,Southampton,False,1,Mrs,Mrs,2,0,Adulto joven (18-35),3.1780538303479458,Q3,Desconocida
100,0,2,"Kantor, Mr. Sinai",male,34.0,1,0,244367,26.0,,S,S,1,34.0,0,,Second,man,True,,Southampton,False,0,Mr,Mr,2,0,Adulto joven (18-35),3.295836866004329,Q3,Desconocida
101,0,3,"Petranec, Miss. Matilda",female,28.0,0,0,349245,7.8958,,S,S,1,28.0,0,,Third,woman,False,,Southampton,True,1,Miss,Miss,1,1,Adulto joven (18-35),2.1855792552411137,Q1 (bajo),Desconocida
102,0,3,"Petroff, Mr. Pastcho (""Pentcho"")",male,,0,0,349215,7.8958,,S,S,0,25.0,0,,Third,man,True,,Southampton,True,0,Mr,Mr,1,1,Adulto joven (18-35),2.1855792552411137,Q1 (bajo),Desconocida
103,0,1,"White, Mr. Richard Frasar",male,21.0,0,1,35281,77.2875,D26,S,S,1,21.0,1,D,First,man,True,D,Southampton,False,0,Mr,Mr,2,0,Adulto joven (18-35),4.360387947851531,Q4 (alto),D
104,0,3,"Johansson, Mr. Gustaf Joel",male,33.0,0,0,7540,8.6542,,S,S,1,33.0,0,,Third,man,True,,Southampton,True,0,Mr,Mr,1,1,Adulto joven (18-35),2.267393053825037,Q2,Desconocida
105,0,3,"Gustafsson, Mr. Anders Vilhelm",male,37.0,2,0,3101276,7.925,,S,S,1,37.0,0,,Third,man,True,,Southampton,False,0,Mr,Mr,3,0,Adulto (36-60),2.188856327665703,Q2,Desconocida
106,0,3,"Mionoff, Mr. Stoytcho",male,28.0,0,0,349207,7.8958,,S,S,1,28.0,0,,Third,man,True,,Southampton,True,0,Mr,Mr,1,1,Adulto joven (18-35),2.1855792552411137,Q1 (bajo),Desconocida
107,1,3,"Salkjelsvik, Miss. Anna Kristine",female,21.0,0,0,343120,7.65,,S,S,1,21.0,0,,Third,woman,False,,Southampton,True,1,Miss,Miss,1,1,Adulto joven (18-35),2.157559320943788,Q1 (bajo),Desconocida
108,1,3,"Moss, Mr. Albert Johan",male,,0,0,312991,7.775,,S,S,0,25.0,0,,Third,man,True,,Southampton,True,0,Mr,Mr,1,1,Adulto joven (18-35),2.1719067693519296,Q1 (bajo),Desconocida
109,0,3,"Rekic, Mr. Tido",male,38.0,0,0,349249,7.8958,,S,S,1,38.0,0,,Third,man,True,,Southampton,True,0,Mr,Mr,1,1,Adulto (36-60),2.1855792552411137,Q1 (bajo),Desconocida
110,1,3,"Moran, Miss. Bertha",female,,1,0,371110,24.15,,Q,Q,0,21.5,0,,Third,woman,False,,Queenstown,False,1,Miss,Miss,2,0,Adulto joven (18-35),3.224857896545748,Q3,Desconocida
111,0,1,"Porter, Mr. Walter Chamberlain",male,47.0,0,0,110465,52.0,C110,S,S,1,47.0,1,C,First,man,True,C,Southampton,True,0,Mr,Mr,1,1,Adulto (36-60),3.970291913552122,Q4 (alto),C
112,0,3,"Zabour, Miss. Hileni",female,14.5,1,0,2665,14.4542,,C,C,1,14.5,0,,Third,child,False,,Cherbourg,False,1,Miss,Miss,2,0,Adolescente (13-17),2.737880811060884,Q2,Desconocida
113,0,3,"Barton, Mr. David John",male,22.0,0,0,324669,8.05,,S,S,1,22.0,0,,Third,man,True,,Southampton,True,0,Mr,Mr,1,1,Adulto joven (18-35),2.2027647577118348,Q2,Desconocida
114,0,3,"Jussila, Miss. Katriina",female,20.0,1,0,4136,9.825,,S,S,1,20.0,0,,Third,woman,False,,Southampton,False,1,Miss,Miss,2,0,Adulto joven (18-35),2.3818582738885534,Q2,Desconocida
115,0,3,"Attalah, Miss. Malake",female,17.0,0,0,2627,14.4583,,C,C,1,17.0,0,,Third,woman,False,,Cherbourg,True,1,Miss,Miss,1,1,Adolescente (13-17),2.738146075922933,Q3,Desconocida
